DISTANCE_M,ELEVATION_M,NAME
1531.764831,172.7214,Cottonwood Marble Canyon C
1541.048254,172.2435,Cottonwood Marble Canyon C
1550.331678,171.9422,Cottonwood Marble Canyon C
1559.615101,171.7046,Cottonwood Marble Canyon C
1568.898524,171.4516,Cottonwood Marble Canyon C
1578.181947,171.1496,Cottonwood Marble Canyon C
1587.46537,170.8104,Cottonwood Marble Canyon C
1596.748794,170.4507,Cottonwood Marble Canyon C
1606.032217,170.0827,Cottonwood Marble Canyon C
1615.31564,169.564,Cottonwood Marble Canyon C
1624.599063,169.018,Cottonwood Marble Canyon C
1633.882487,168.6585,Cottonwood Marble Canyon C
1643.16591,168.3055,Cottonwood Marble Canyon C
1652.449333,167.964,Cottonwood Marble Canyon C
1661.732756,167.6268,Cottonwood Marble Canyon C
1671.016179,167.2956,Cottonwood Marble Canyon C
1680.299603,166.9731,Cottonwood Marble Canyon C
1689.583026,166.5635,Cottonwood Marble Canyon C
1698.866449,166.0068,Cottonwood Marble Canyon C
1708.149872,165.6875,Cottonwood Marble Canyon C
1717.433296,165.3766,Cottonwood Marble Canyon C
1726.716719,165.071,Cottonwood Marble Canyon C
1736.000142,164.7703,Cottonwood Marble Canyon C
1745.283565,164.4757,Cottonwood Marble Canyon C
1754.566988,164.188,Cottonwood Marble Canyon C
1763.850412,163.8749,Cottonwood Marble Canyon C
1773.133835,163.3307,Cottonwood Marble Canyon C
1782.417258,163.0475,Cottonwood Marble Canyon C
1791.700681,162.7593,Cottonwood Marble Canyon C
1800.984105,162.4674,Cottonwood Marble Canyon C
1810.267528,162.1818,Cottonwood Marble Canyon C
1819.550951,161.8777,Cottonwood Marble Canyon C
1828.834374,161.5595,Cottonwood Marble Canyon C
1838.117797,161.2559,Cottonwood Marble Canyon C
1847.401221,160.6899,Cottonwood Marble Canyon C
1856.684644,160.321,Cottonwood Marble Canyon C
1865.968067,160.0822,Cottonwood Marble Canyon C
1875.25149,159.9379,Cottonwood Marble Canyon C
1884.534913,159.7275,Cottonwood Marble Canyon C
1893.818337,159.5103,Cottonwood Marble Canyon C
1903.10176,159.2862,Cottonwood Marble Canyon C
