DISTANCE_M,ELEVATION_M,NAME
2106.702161,149.8561,Cottonwood Marble Canyon R
2115.982787,149.2881,Cottonwood Marble Canyon R
2125.263414,148.8646,Cottonwood Marble Canyon R
2134.54404,148.4569,Cottonwood Marble Canyon R
2143.824666,148.0502,Cottonwood Marble Canyon R
2153.105292,147.7432,Cottonwood Marble Canyon R
2162.385919,147.5542,Cottonwood Marble Canyon R
2171.666545,147.4317,Cottonwood Marble Canyon R
2180.947171,147.1051,Cottonwood Marble Canyon R
2190.227797,146.6698,Cottonwood Marble Canyon R
2199.508424,146.1897,Cottonwood Marble Canyon R
2208.78905,145.7591,Cottonwood Marble Canyon R
2218.069676,145.2703,Cottonwood Marble Canyon R
2227.350302,144.7311,Cottonwood Marble Canyon R
2236.630929,144.3552,Cottonwood Marble Canyon R
2245.911555,143.9818,Cottonwood Marble Canyon R
2255.192181,143.6069,Cottonwood Marble Canyon R
2264.472808,143.2371,Cottonwood Marble Canyon R
2273.753434,142.8694,Cottonwood Marble Canyon R
2283.03406,142.5003,Cottonwood Marble Canyon R
2292.314686,142.125,Cottonwood Marble Canyon R
2301.595313,141.7477,Cottonwood Marble Canyon R
2310.875939,141.3738,Cottonwood Marble Canyon R
2320.156565,141.0049,Cottonwood Marble Canyon R
2329.437191,140.6819,Cottonwood Marble Canyon R
2338.717818,140.3137,Cottonwood Marble Canyon R
2347.998444,139.9455,Cottonwood Marble Canyon R
2357.27907,139.5748,Cottonwood Marble Canyon R
2366.559696,139.1975,Cottonwood Marble Canyon R
2375.840323,138.8288,Cottonwood Marble Canyon R
2385.120949,138.4634,Cottonwood Marble Canyon R
2394.401575,138.0977,Cottonwood Marble Canyon R
2403.682201,137.729,Cottonwood Marble Canyon R
2412.962828,137.3495,Cottonwood Marble Canyon R
2422.243454,137,Cottonwood Marble Canyon R
2431.52408,136.5376,Cottonwood Marble Canyon R
2440.804706,136.1053,Cottonwood Marble Canyon R
2450.085333,135.7768,Cottonwood Marble Canyon R
2459.365959,135.5139,Cottonwood Marble Canyon R
2468.646585,135.3469,Cottonwood Marble Canyon R
2477.927212,135.1927,Cottonwood Marble Canyon R
2487.207838,134.9759,Cottonwood Marble Canyon R
2496.488464,134.6712,Cottonwood Marble Canyon R
2505.76909,134.3422,Cottonwood Marble Canyon R
2515.049717,133.9829,Cottonwood Marble Canyon R
2524.330343,133.616,Cottonwood Marble Canyon R
2533.610969,133.04,Cottonwood Marble Canyon R
2542.891595,132.5799,Cottonwood Marble Canyon R
2552.172222,132.1696,Cottonwood Marble Canyon R
2561.452848,131.7693,Cottonwood Marble Canyon R
2570.733474,131.3634,Cottonwood Marble Canyon R
2580.0141,130.955,Cottonwood Marble Canyon R
2589.294727,130.5465,Cottonwood Marble Canyon R
2598.575353,130.144,Cottonwood Marble Canyon R
2607.855979,129.7591,Cottonwood Marble Canyon R
2617.136605,129.3544,Cottonwood Marble Canyon R
2626.417232,129.037,Cottonwood Marble Canyon R
2635.697858,128.6163,Cottonwood Marble Canyon R
2644.978484,128.2503,Cottonwood Marble Canyon R
2654.25911,127.9048,Cottonwood Marble Canyon R
2663.539737,127.5619,Cottonwood Marble Canyon R
2672.820363,127.2169,Cottonwood Marble Canyon R
2682.100989,126.8742,Cottonwood Marble Canyon R
2691.381615,126.5664,Cottonwood Marble Canyon R
2700.662242,126.2802,Cottonwood Marble Canyon R
2709.942868,126.0891,Cottonwood Marble Canyon R
2719.223494,125.8415,Cottonwood Marble Canyon R
2728.504121,125.3611,Cottonwood Marble Canyon R
2737.784747,124.6138,Cottonwood Marble Canyon R
2747.065373,123.4825,Cottonwood Marble Canyon R
2756.345999,123.0379,Cottonwood Marble Canyon R
2765.626626,122.8094,Cottonwood Marble Canyon R
2774.907252,122.7228,Cottonwood Marble Canyon R
2784.187878,122.4816,Cottonwood Marble Canyon R
2793.468504,122.1952,Cottonwood Marble Canyon R
2802.749131,121.9128,Cottonwood Marble Canyon R
2812.029757,121.5942,Cottonwood Marble Canyon R
2821.310383,121.324,Cottonwood Marble Canyon R
2830.591009,121.0592,Cottonwood Marble Canyon R
2839.871636,120.7316,Cottonwood Marble Canyon R
2849.152262,120.3948,Cottonwood Marble Canyon R
2858.432888,120.084,Cottonwood Marble Canyon R
2867.713514,119.8089,Cottonwood Marble Canyon R
2876.994141,119.5203,Cottonwood Marble Canyon R
2886.274767,119.1449,Cottonwood Marble Canyon R
2895.555393,118.728,Cottonwood Marble Canyon R
2904.836019,118.3143,Cottonwood Marble Canyon R
2914.116646,117.9181,Cottonwood Marble Canyon R
2923.397272,117.7593,Cottonwood Marble Canyon R
2932.677898,117.5283,Cottonwood Marble Canyon R
2941.958525,117.0708,Cottonwood Marble Canyon R
2951.239151,116.6529,Cottonwood Marble Canyon R
2960.519777,116.3398,Cottonwood Marble Canyon R
2969.800403,116.0466,Cottonwood Marble Canyon R
2979.08103,115.7243,Cottonwood Marble Canyon R
2988.361656,115.3728,Cottonwood Marble Canyon R
2997.642282,115.0658,Cottonwood Marble Canyon R
3006.922908,114.7565,Cottonwood Marble Canyon R
3016.203535,114.5245,Cottonwood Marble Canyon R
3025.484161,114.3467,Cottonwood Marble Canyon R
3034.764787,114.0983,Cottonwood Marble Canyon R
3044.045413,113.8335,Cottonwood Marble Canyon R
3053.32604,113.5789,Cottonwood Marble Canyon R
3062.606666,113.1964,Cottonwood Marble Canyon R
3071.887292,112.8605,Cottonwood Marble Canyon R
3081.167918,112.4925,Cottonwood Marble Canyon R
3090.448545,111.903,Cottonwood Marble Canyon R
3099.729171,111.4309,Cottonwood Marble Canyon R
3109.009797,111.0563,Cottonwood Marble Canyon R
3118.290423,110.6956,Cottonwood Marble Canyon R
3127.57105,110.3334,Cottonwood Marble Canyon R
3136.851676,109.9646,Cottonwood Marble Canyon R
3146.132302,109.6121,Cottonwood Marble Canyon R
3155.412929,108.9634,Cottonwood Marble Canyon R
3164.693555,108.4472,Cottonwood Marble Canyon R
3173.974181,108.0812,Cottonwood Marble Canyon R
3183.254807,107.7928,Cottonwood Marble Canyon R
3192.535434,107.5527,Cottonwood Marble Canyon R
3201.81606,107.2259,Cottonwood Marble Canyon R
3211.096686,106.9385,Cottonwood Marble Canyon R
3220.377312,106.6849,Cottonwood Marble Canyon R
3229.657939,106.2818,Cottonwood Marble Canyon R
3238.938565,105.8616,Cottonwood Marble Canyon R
3248.219191,105.3908,Cottonwood Marble Canyon R
3257.499817,104.9623,Cottonwood Marble Canyon R
3266.780444,104.7117,Cottonwood Marble Canyon R
3276.06107,104.4258,Cottonwood Marble Canyon R
3285.341696,104.0772,Cottonwood Marble Canyon R
3294.622322,103.7305,Cottonwood Marble Canyon R
3303.902949,103.3784,Cottonwood Marble Canyon R
3313.183575,103.02,Cottonwood Marble Canyon R
3322.464201,102.6321,Cottonwood Marble Canyon R
3331.744827,102.2409,Cottonwood Marble Canyon R
3341.025454,101.9474,Cottonwood Marble Canyon R
3350.30608,101.6877,Cottonwood Marble Canyon R
3359.586706,101.4027,Cottonwood Marble Canyon R
3368.867332,100.9813,Cottonwood Marble Canyon R
3378.147959,100.7246,Cottonwood Marble Canyon R
3387.428585,100.4601,Cottonwood Marble Canyon R
3396.709211,100.077,Cottonwood Marble Canyon R
3405.989838,99.6642,Cottonwood Marble Canyon R
3415.270464,99.3634,Cottonwood Marble Canyon R
3424.55109,99.1729,Cottonwood Marble Canyon R
3433.831716,98.9837,Cottonwood Marble Canyon R
3443.112343,98.7307,Cottonwood Marble Canyon R
3452.392969,98.4397,Cottonwood Marble Canyon R
3461.673595,98.0612,Cottonwood Marble Canyon R
3470.954221,97.6431,Cottonwood Marble Canyon R
3480.234848,97.3372,Cottonwood Marble Canyon R
3489.515474,97.0532,Cottonwood Marble Canyon R
3498.7961,96.7864,Cottonwood Marble Canyon R
3508.076726,96.5481,Cottonwood Marble Canyon R
3517.357353,96.3449,Cottonwood Marble Canyon R
3526.637979,96.1813,Cottonwood Marble Canyon R
3535.918605,95.9405,Cottonwood Marble Canyon R
3545.199231,95.6824,Cottonwood Marble Canyon R
3554.479858,95.4192,Cottonwood Marble Canyon R
3563.760484,95.1939,Cottonwood Marble Canyon R
3573.04111,94.9527,Cottonwood Marble Canyon R
3582.321736,94.6682,Cottonwood Marble Canyon R
3591.602363,94.4357,Cottonwood Marble Canyon R
3600.882989,94.1892,Cottonwood Marble Canyon R
3610.163615,93.9769,Cottonwood Marble Canyon R
3619.444242,93.7481,Cottonwood Marble Canyon R
3628.724868,93.5133,Cottonwood Marble Canyon R
3638.005494,93.2938,Cottonwood Marble Canyon R
3647.28612,93.0734,Cottonwood Marble Canyon R
3656.566747,92.8396,Cottonwood Marble Canyon R
3665.847373,92.5973,Cottonwood Marble Canyon R
3675.127999,92.3259,Cottonwood Marble Canyon R
3684.408625,92.038,Cottonwood Marble Canyon R
3693.689252,91.7649,Cottonwood Marble Canyon R
3702.969878,91.4847,Cottonwood Marble Canyon R
3712.250504,91.1853,Cottonwood Marble Canyon R
3721.53113,90.857,Cottonwood Marble Canyon R
3730.811757,90.4926,Cottonwood Marble Canyon R
3740.092383,90.1773,Cottonwood Marble Canyon R
3749.373009,89.7961,Cottonwood Marble Canyon R
3758.653635,89.457,Cottonwood Marble Canyon R
3767.934262,89.2411,Cottonwood Marble Canyon R
3777.214888,89.0916,Cottonwood Marble Canyon R
3786.495514,88.7785,Cottonwood Marble Canyon R
3795.77614,88.4495,Cottonwood Marble Canyon R
3805.056767,88.1269,Cottonwood Marble Canyon R
3814.337393,87.9761,Cottonwood Marble Canyon R
3823.618019,87.7743,Cottonwood Marble Canyon R
3832.898646,87.4405,Cottonwood Marble Canyon R
3842.179272,87.2407,Cottonwood Marble Canyon R
3851.459898,87.0283,Cottonwood Marble Canyon R
3860.740524,86.7658,Cottonwood Marble Canyon R
3870.021151,86.4868,Cottonwood Marble Canyon R
3879.301777,86.1957,Cottonwood Marble Canyon R
3888.582403,85.7262,Cottonwood Marble Canyon R
3897.863029,85.3403,Cottonwood Marble Canyon R
3907.143656,85.0084,Cottonwood Marble Canyon R
3916.424282,84.6429,Cottonwood Marble Canyon R
3925.704908,84.3536,Cottonwood Marble Canyon R
3934.985534,84.1063,Cottonwood Marble Canyon R
3944.266161,83.8562,Cottonwood Marble Canyon R
3953.546787,83.5875,Cottonwood Marble Canyon R
3962.827413,83.3471,Cottonwood Marble Canyon R
3972.108039,83.1956,Cottonwood Marble Canyon R
3981.388666,82.8679,Cottonwood Marble Canyon R
3990.669292,82.3583,Cottonwood Marble Canyon R
3999.949918,82.0086,Cottonwood Marble Canyon R
4009.230544,81.654,Cottonwood Marble Canyon R
4018.511171,81.3233,Cottonwood Marble Canyon R
4027.791797,81.0448,Cottonwood Marble Canyon R
4037.072423,80.7628,Cottonwood Marble Canyon R
4046.353049,80.4815,Cottonwood Marble Canyon R
4055.633676,80.191,Cottonwood Marble Canyon R
4064.914302,79.8882,Cottonwood Marble Canyon R
4074.194928,79.5747,Cottonwood Marble Canyon R
