DISTANCE_M,ELEVATION_M,NAME
1688.795675,166.0689,Cottonwood Marble Canyon L
1698.074773,165.7047,Cottonwood Marble Canyon L
1707.35387,165.35,Cottonwood Marble Canyon L
1716.632967,165.0061,Cottonwood Marble Canyon L
1725.912064,164.6741,Cottonwood Marble Canyon L
1735.191161,164.3526,Cottonwood Marble Canyon L
1744.470258,163.8956,Cottonwood Marble Canyon L
1753.749355,163.4402,Cottonwood Marble Canyon L
1763.028452,163.1319,Cottonwood Marble Canyon L
1772.307549,162.812,Cottonwood Marble Canyon L
1781.586647,162.4847,Cottonwood Marble Canyon L
1790.865744,162.1615,Cottonwood Marble Canyon L
1800.144841,161.8437,Cottonwood Marble Canyon L
1809.423938,161.5246,Cottonwood Marble Canyon L
1818.703035,161.1926,Cottonwood Marble Canyon L
1827.982132,160.6239,Cottonwood Marble Canyon L
1837.261229,160.2442,Cottonwood Marble Canyon L
1846.540326,159.9219,Cottonwood Marble Canyon L
1855.819424,159.6033,Cottonwood Marble Canyon L
1865.098521,159.3398,Cottonwood Marble Canyon L
1874.377618,159.0645,Cottonwood Marble Canyon L
1883.656715,158.7286,Cottonwood Marble Canyon L
1892.935812,158.3824,Cottonwood Marble Canyon L
1902.214909,158.0195,Cottonwood Marble Canyon L
1911.494006,157.5492,Cottonwood Marble Canyon L
1920.773103,156.9264,Cottonwood Marble Canyon L
1930.0522,156.557,Cottonwood Marble Canyon L
1939.331298,156.1888,Cottonwood Marble Canyon L
1948.610395,155.8252,Cottonwood Marble Canyon L
1957.889492,155.465,Cottonwood Marble Canyon L
1967.168589,155.1124,Cottonwood Marble Canyon L
1976.447686,154.7755,Cottonwood Marble Canyon L
1985.726783,154.4257,Cottonwood Marble Canyon L
1995.00588,153.8736,Cottonwood Marble Canyon L
2004.284977,153.4298,Cottonwood Marble Canyon L
2013.564075,153.0995,Cottonwood Marble Canyon L
2022.843172,152.7656,Cottonwood Marble Canyon L
2032.122269,152.4346,Cottonwood Marble Canyon L
2041.401366,152.1061,Cottonwood Marble Canyon L
2050.680463,151.7754,Cottonwood Marble Canyon L
2059.95956,151.4576,Cottonwood Marble Canyon L
2069.238657,151.1113,Cottonwood Marble Canyon L
2078.517754,150.5373,Cottonwood Marble Canyon L
2087.796851,150.2235,Cottonwood Marble Canyon L
